Distance (km),Loss (dB)
0.005961,42.580000
0.005966,42.578000
0.005971,42.576000
0.005976,42.574000
0.005981,42.572000
0.005986,42.570000
0.005991,42.568000
0.005996,42.567000
0.006002,42.566000
0.006007,42.564000
0.006012,42.563000
0.006017,42.562000
0.006022,42.560000
0.006027,42.559000
0.006032,42.557000
0.006037,42.555000
0.006042,42.553000
0.006047,42.551000
0.006052,42.550000
0.006058,42.548000
0.006063,42.546000
0.006068,42.544000
0.006073,42.542000
0.006078,42.540000
0.006083,42.539000
0.006088,42.538000
0.006093,42.536000
0.006098,42.535000
0.006103,42.533000
0.006109,42.531000
0.006114,42.529000
0.006119,42.528000
0.006124,42.526000
0.006129,42.525000
0.006134,42.524000
0.006139,42.521000
0.006144,42.520000
0.006149,42.517000
0.006154,42.516000
0.006159,42.515000
0.006165,42.513000
0.006170,42.512000
0.006175,42.510000
0.006180,42.508000
0.006185,42.506000
0.006190,42.504000
0.006195,42.502000
0.006200,42.500000
0.006205,42.498000
0.006210,42.497000
0.006216,42.495000
0.006221,42.493000
0.006226,42.491000
0.006231,42.489000
0.006236,42.487000
0.006241,42.485000
0.006246,42.483000
0.006251,42.480000
0.006256,42.478000
0.006261,42.476000
0.006266,42.474000
0.006272,42.473000
0.006277,42.472000
0.006282,42.470000
0.006287,42.469000
0.006292,42.467000
0.006297,42.465000
0.006302,42.463000
0.006307,42.462000
0.006312,42.461000
0.006317,42.460000
0.006323,42.459000
0.006328,42.458000
0.006333,42.456000
0.006338,42.454000
0.006343,42.452000
0.006348,42.449000
0.006353,42.448000
0.006358,42.446000
0.006363,42.445000
0.006368,42.443000
0.006373,42.441000
0.006379,42.439000
0.006384,42.437000
0.006389,42.435000
0.006394,42.433000
0.006399,42.432000
0.006404,42.430000
0.006409,42.427000
0.006414,42.425000
0.006419,42.422000
0.006424,42.419000
0.006430,42.417000
0.006435,42.415000
0.006440,42.413000
0.006445,42.411000
0.006450,42.410000
0.006455,42.408000
0.006460,42.406000
0.006465,42.404000
0.006470,42.402000
0.006475,42.399000
0.006480,42.398000
0.006486,42.396000
0.006491,42.395000
0.006496,42.394000
0.006501,42.392000
0.006506,42.391000
0.006511,42.389000
0.006516,42.387000
0.006521,42.385000
0.006526,42.384000
0.006531,42.382000
0.006536,42.380000
0.006542,42.379000
0.006547,42.377000
0.006552,42.374000
0.006557,42.372000
0.006562,42.371000
0.006567,42.369000
0.006572,42.368000
0.006577,42.366000
0.006582,42.365000
0.006587,42.363000
0.006593,42.361000
0.006598,42.359000
0.006603,42.358000
0.006608,42.357000
0.006613,42.355000
0.006618,42.353000
0.006623,42.351000
0.006628,42.349000
0.006633,42.347000
0.006638,42.345000
0.006643,42.343000
0.006649,42.341000
0.006654,42.339000
0.006659,42.337000
0.006664,42.336000
0.006669,42.335000
0.006674,42.333000
0.006679,42.332000
0.006684,42.331000
0.006689,42.329000
0.006694,42.327000
0.006700,42.325000
0.006705,42.323000
0.006710,42.322000
0.006715,42.321000
0.006720,42.319000
0.006725,42.317000
0.006730,42.315000
0.006735,42.314000
0.006740,42.312000
0.006745,42.310000
0.006750,42.307000
0.006756,42.305000
0.006761,42.303000
0.006766,42.301000
0.006771,42.300000
0.006776,42.299000
0.006781,42.299000
0.006786,42.297000
0.006791,42.296000
0.006796,42.294000
0.006801,42.293000
0.006807,42.291000
0.006812,42.290000
0.006817,42.288000
0.006822,42.286000
0.006827,42.285000
0.006832,42.283000
0.006837,42.281000
0.006842,42.279000
0.006847,42.278000
0.006852,42.276000
0.006857,42.275000
0.006863,42.274000
0.006868,42.272000
0.006873,42.270000
0.006878,42.267000
0.006883,42.265000
0.006888,42.263000
0.006893,42.261000
0.006898,42.260000
0.006903,42.259000
0.006908,42.257000
0.006914,42.256000
0.006919,42.254000
0.006924,42.252000
0.006929,42.249000
0.006934,42.247000
0.006939,42.246000
0.006944,42.244000
0.006949,42.243000
0.006954,42.241000
0.006959,42.239000
0.006964,42.237000
0.006970,42.236000
0.006975,42.234000
0.006980,42.232000
0.006985,42.231000
0.006990,42.228000
0.006995,42.226000
0.007000,42.224000
0.007005,42.221000
0.007010,42.219000
0.007015,42.217000
0.007020,42.215000
0.007026,42.213000
0.007031,42.211000
0.007036,42.209000
0.007041,42.208000
0.007046,42.207000
0.007051,42.205000
0.007056,42.204000
0.007061,42.202000
0.007066,42.200000
0.007071,42.198000
0.007077,42.195000
0.007082,42.193000
